Smart Suggestions engine — golden master
Generated by SuggestionEngineGoldenMasterTests. Do not hand-edit.
See SUGGESTION_ENGINE_IMPLEMENTATION_PLAN.md §1 (PF1).

## A1 straight 4x8 @ RIR 2, defaults
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  70.0000 | eff   94.3990 | cap  100.0000 | fat 0.0560 | disc 0.9440 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A2 same, 60 s rest
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  70.0000 | eff   94.0780 | cap  100.0000 | fat 0.0592 | disc 0.9408 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  70.0000 | eff   92.3067 | cap  100.0000 | fat 0.0769 | disc 0.9231 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A3 same, 420 s rest
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   96.2154 | cap  100.0000 | fat 0.0378 | disc 0.9622 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  72.5000 | eff   96.1830 | cap  100.0000 | fat 0.0382 | disc 0.9618 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A4 fatigue disabled
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A5 learned rate floor 0.01
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  75.0000 | eff   98.8500 | cap  100.0000 | fat 0.0115 | disc 0.9885 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  75.0000 | eff   98.3502 | cap  100.0000 | fat 0.0165 | disc 0.9835 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  72.5000 | eff   98.1330 | cap  100.0000 | fat 0.0187 | disc 0.9813 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A6 learned rate ceiling 0.08
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  67.5000 | eff   90.8000 | cap  100.0000 | fat 0.0920 | disc 0.9080 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  65.0000 | eff   86.8017 | cap  100.0000 | fat 0.1320 | disc 0.8680 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  65.0000 | eff   85.0640 | cap  100.0000 | fat 0.1494 | disc 0.8506 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A7 twelve sets — fatigue saturation
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  70.0000 | eff   94.3990 | cap  100.0000 | fat 0.0560 | disc 0.9440 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 5 | w  70.0000 | eff   94.1158 | cap  100.0000 | fat 0.0588 | disc 0.9412 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 6 | w  70.0000 | eff   93.9927 | cap  100.0000 | fat 0.0601 | disc 0.9399 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 7 | w  70.0000 | eff   93.9393 | cap  100.0000 | fat 0.0606 | disc 0.9394 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 8 | w  70.0000 | eff   93.9160 | cap  100.0000 | fat 0.0608 | disc 0.9392 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 9 | w  70.0000 | eff   93.9059 | cap  100.0000 | fat 0.0609 | disc 0.9391 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 10 | w  70.0000 | eff   93.9015 | cap  100.0000 | fat 0.0610 | disc 0.9390 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 11 | w  70.0000 | eff   93.8996 | cap  100.0000 | fat 0.0610 | disc 0.9390 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 12 | w  70.0000 | eff   93.8988 | cap  100.0000 | fat 0.0610 | disc 0.9390 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## A8 freshness bonus on
  set 1 | w  77.5000 | eff  103.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh y
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## B1 fixed target 8 @ RIR 0, no history
  set 1 | w  60.0000 | eff   76.0000 | cap   76.0000 | fat 0.0000 | disc 1.0000 | if 0.7895 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  57.5000 | eff   72.6940 | cap   76.0000 | fat 0.0435 | disc 0.9565 | if 0.7895 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  56.2500 | eff   71.2572 | cap   76.0000 | fat 0.0624 | disc 0.9376 | if 0.7895 | reps - | policy closest match to effective e1RM | fresh n
